@relation trainingdata

@attribute Days {1,2,3,4,5,6,7}
@attribute Hours {6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}
@attribute Vehicles numeric

@data
1,6,1
1,6,3
1,7,1
1,7,3
1,8,1
1,8,1
1,9,2
1,9,0
1,10,7
1,10,10
1,11,6
1,11,8
1,12,6
1,12,8
1,13,10
1,13,6
1,14,0
1,14,3
1,15,4
1,15,1
1,16,3
1,16,0
1,17,10
1,17,7
1,18,10
1,18,7
1,19,10
1,19,7
1,20,10
1,20,9
1,21,9
1,21,9
1,22,9
1,22,10
1,23,3
1,23,2
1,24,4
1,24,4
2,6,2
2,6,1
2,7,0
2,7,1
2,8,3
2,8,0
2,9,1
2,9,1
2,10,7
2,10,7
2,11,10
2,11,9
2,12,5
2,12,7
2,13,10
2,13,7
2,14,2
2,14,3
2,15,0
2,15,1
2,16,2
2,16,2
2,17,9
2,17,8
2,18,8
2,18,8
2,19,8
2,19,7
2,20,7
2,20,7
2,21,9
2,21,8
2,22,7
2,22,9
2,23,0
2,23,1
2,24,0
2,24,2
3,6,1
3,6,3
3,7,0
3,7,1
3,8,0
3,8,0
3,9,1
3,9,0
3,10,10
3,10,10
3,11,8
3,11,8
3,12,7
3,12,6
3,13,5
3,13,10
3,14,4
3,14,2
3,15,2
3,15,0
3,16,3
3,16,4
3,17,7
3,17,10
3,18,10
3,18,8
3,19,10
3,19,10
3,20,10
3,20,7
3,21,10
3,21,9
3,22,9
3,22,8
3,23,0
3,23,1
3,24,2
3,24,2
4,6,1
4,6,1
4,7,3
4,7,3
4,8,0
4,8,1
4,9,0
4,9,1
4,10,5
4,10,10
4,11,10
4,11,6
4,12,8
4,12,9
4,13,8
4,13,10
4,14,3
4,14,3
4,15,3
4,15,2
4,16,2
4,16,1
4,17,9
4,17,10
4,18,8
4,18,9
4,19,8
4,19,10
4,20,8
4,20,8
4,21,7
4,21,9
4,22,10
4,22,10
4,23,3
4,23,3
4,24,2
4,24,2
5,6,3
5,6,2
5,7,1
5,7,1
5,8,2
5,8,2
5,9,2
5,9,2
5,10,9
5,10,8
5,11,9
5,11,5
5,12,10
5,12,8
5,13,6
5,13,7
5,14,1
5,14,0
5,15,4
5,15,3
5,16,3
5,16,1
5,17,7
5,17,9
5,18,9
5,18,10
5,19,10
5,19,8
5,20,10
5,20,9
5,21,9
5,21,9
5,22,10
5,22,9
5,23,3
5,23,5
5,24,5
5,24,5
6,6,3
6,6,3
6,7,5
6,7,3
6,8,2
6,8,3
6,9,3
6,9,5
6,10,8
6,10,7
6,11,9
6,11,9
6,12,10
6,12,10
6,13,10
6,13,8
6,14,5
6,14,6
6,15,3
6,15,5
6,16,3
6,16,4
6,17,8
6,17,10
6,18,9
6,18,8
6,19,9
6,19,10
6,20,9
6,20,10
6,21,9
6,21,9
6,22,8
6,22,9
6,23,9
6,23,8
6,24,9
6,24,9
7,6,4
7,6,4
7,8,4
7,8,4
7,9,4
7,9,4
7,10,7
7,10,9
7,11,9
7,11,8
7,12,7
7,12,8
7,13,9
7,13,8
7,14,8
7,14,8
7,15,8
7,15,7
7,16,8
7,16,8
7,17,9
7,17,9
7,18,10
7,18,10
7,19,9
7,19,9
7,20,9
7,20,8
7,21,10
7,21,8
7,22,9
7,22,10
7,23,3
7,23,3
7,24,3
7,24,4
